id,track,artist,artist,month,year,posThen,posHighest,duration,tempo,timeSignature,mode,key,loudness,danceability,energy
0c7Ku2JaVMyejkYLjwxucj,WARRIOR'S DANCE,PRODIGY,PRODIGY,12,2009,31,1,312960,137.015,4,0,5,-5.035,0.579,0.989
1edapjizXWDfcJPt29Jg8Z,OMEN,PRODIGY,PRODIGY,12,2009,34,1,216027,140.002,4,1,7,-5.172,0.545,0.953
2ueKL2MWoyfg1FnBpHOfbH,YOU AND I,MEDINA,MEDINA,12,2009,35,33,379800,127.99,4,0,2,-5.456,0.944,0.56
0HqxdvZRJ5O9WmI3CnTrUe,HEAVEN,DJ SAMMY,DJ SAMMY,12,2009,40,3,613594,128.007,4,1,7,-9.367,0.723,0.595
4MKzCHlZvkwJOQRNkdw4zq,SEXY CHICK,DAVID GUETTA,DAVID GUETTA,1,2010,3,3,195853,129.999,4,0,11,-4.99,0.811,0.654
7nBSJafXLMy8kHIS9JfITW,HOLIDAY,DIZZEE RASCAL,DIZZEE RASCAL,1,2010,6,2,229010,118.018,4,1,7,-6.324,0.798,0.733
7uRsLmBRTsmv3CMcvof3zO,FLASHBACK,CALVIN HARRIS,CALVIN HARRIS,1,2010,8,3,375653,130.333,4,1,7,-3.652,0.705,0.941
6ZbmKimtnTuIo330PbxdU3,WHEN LOVE TAKES OVER,DAVID GUETTA,DAVID GUETTA,1,2010,9,1,191000,129.995,4,1,11,-4.627,0.671,0.875
0cD9mIZh7oEGdyVyKQkFib,WATCH THE SUN COME UP,EXAMPLE,EXAMPLE,1,2010,12,3,203944,114.986,4,1,2,-2.46,0.621,0.932
4wKPPFeYvFcFjofwEMh06P,EVACUATE THE DANCEFLOOR,CASCADA,CASCADA,1,2010,13,13,296080,129.988,4,1,0,-6.508,0.569,0.852
5Io6li51reXxVNSknHokDw,DON'T GO,YAZOO,YAZOO,1,2010,15,15,356240,126.697,4,1,2,-9.238,0.466,0.913
0hRZYb7QcMzgl4Ntqzo7Or,GET SHAKY,IAN CAREY PROJECT,IAN CAREY PROJECT,1,2010,17,7,326532,127.956,4,1,1,-6.172,0.733,0.796
6k804iK8EhBgcNqoddbWGS,GOOD GIRLS GO BAD,COBRA STARSHIP,COBRA STARSHIP,1,2010,21,8,280013,124.042,4,1,7,-4.858,0.684,0.79
64GzgisSQSf7jp1KUD5Q6B,GHOSTS 'N' STUFF,DEADMAU5,DEADMAU5,1,2010,25,2,270027,128.016,4,1,8,-5.244,0.521,0.806
2h0MMYlr6qkBTcmKo0953G,I REMEMBER,DEADMAU5,DEADMAU5,1,2010,26,1,303573,128.013,4,0,11,-7.085,0.689,0.704
181NpZHDSy00GT1P5fT71v,PIECES,CHASE,CHASE,1,2010,27,1,125920,101.692,4,0,4,-6.222,0.521,0.575
5qPmR4nG3nNAECAN5JxrEV,HEARTBEAT,NNEKA,NNEKA,1,2010,31,18,237733,144.108,4,0,11,-6.261,0.558,0.665
